text,text_tfidf,text_bert,time,prob_fear,prob_neutral,prob_greed,pred_label
"복수하러왔다가
그냥 도망갈게요...",복수하러왔다가 그냥 도망갈게요,복수하러왔다가 그냥 도망갈게요...,2024-11-19T12:28:55+09:00,0.0557,0.8782,0.0661,1
ㅋㅋㅋㅋ 삼성이 반도체만 있는건 아니지만 8만9만까지 갔던건 반도체 덕분아니였나?,삼성이 반도체만 있는건 아니지만 8만9만까지 갔던건 반도체 덕분아니였나,ㅋㅋㅋㅋ 삼성이 반도체만 있는건 아니지만 8만9만까지 갔던건 반도체 덕분아니였나?,2024-11-06T14:47:06+09:00,0.0404,0.8885,0.0711,1
날라가능거?,날라가능거,날라가능거?,2024-08-07T08:30:53+09:00,0.0699,0.8452,0.0849,1
"ㅋㅋㅋㅋㅋㅋㅋㅋ
개인도 안사겠다이제",개인도 안사겠다이제,ㅋㅋㅋㅋㅋㅋㅋㅋ 개인도 안사겠다이제,2024-11-13T10:57:34+09:00,0.0291,0.9418,0.0291,1
ㅋ,,ㅋ,2023-11-06T16:09:05+09:00,0.024,0.962,0.014,1
"57,000원 제발 다시 한번 오길!",57000원 제발 다시 한번 오길,"57,000원 제발 다시 한번 오길!",2025-01-23T10:16:11+09:00,0.0376,0.847,0.1154,1
"기업 가치는 잘 모르겠습니다

그냥 돈 100원이라도 벌어보려구요",기업 가치는 잘 모르겠습니다 그냥 돈 100원이라도 벌어보려구요,기업 가치는 잘 모르겠습니다 그냥 돈 100원이라도 벌어보려구요,2024-07-09T13:07:28+09:00,0.0393,0.9283,0.0323,1
매도물량 엄청나네 87은 못뚫겠네,매도물량 엄청나네 87은 못뚫겠네,매도물량 엄청나네 87은 못뚫겠네,2024-07-05T14:18:13+09:00,0.5338,0.2371,0.2292,0
나는 5만원대에 100주 사고 싶다 좀 더 눌러!!,나는 5만원대에 100주 사고 싶다 좀 더 눌러,나는 5만원대에 100주 사고 싶다 좀 더 눌러!!,2024-09-24T09:14:58+09:00,0.0605,0.6219,0.3177,1
흐헝헝,흐헝헝,흐헝헝,2024-10-25T09:24:26+09:00,0.0595,0.9115,0.029,1
우와 외국인들 엄청 팔아제끼네,우와 외국인들 엄청 팔아제끼네,우와 외국인들 엄청 팔아제끼네,2024-12-20T15:08:52+09:00,0.2046,0.7012,0.0942,1
이정도면 .. 건희형님 관짝깨부수고 나올듯ㅋㅋ,이정도면 건희형님 관짝깨부수고 나올듯,이정도면 .. 건희형님 관짝깨부수고 나올듯ㅋㅋ,2024-11-14T17:22:48+09:00,0.0966,0.8263,0.0772,1
1차줍줍,1차줍줍,1차줍줍,2024-10-24T17:33:00+09:00,0.0916,0.8833,0.0251,1
"하루에 1000~2000
마이너스네...",하루에 10002000 마이너스네,하루에 10002000 마이너스네...,2024-11-13T14:48:17+09:00,0.051,0.8993,0.0497,1
고수형님들 삼전 내일 어캐 시작될거같아여?,고수형님들 삼전 내일 어캐 시작될거같아여,고수형님들 삼전 내일 어캐 시작될거같아여?,2024-08-08T22:44:35+09:00,0.094,0.7137,0.1923,1
"한국 1등주식이 pbr이 0.98이다
이게 나라냐",한국 1등주식이 pbr이 098이다 이게 나라냐,한국 1등주식이 pbr이 0.98이다 이게 나라냐,2024-12-09T08:39:47+09:00,0.1669,0.6969,0.1362,1
외국인들 사기시작할려면 미장이 박아야하는데 지금 광기라 좀만 더 지켜보고 물타야지 넘 물렷네,외국인들 사기시작할려면 미장이 박아야하는데 지금 광기라 좀만 더 지켜보고 물타야지 넘 물렷네,외국인들 사기시작할려면 미장이 박아야하는데 지금 광기라 좀만 더 지켜보고 물타야지 넘 물렷네,2024-11-12T14:12:23+09:00,0.4132,0.279,0.3079,0
갑자기 왜이리 올라가 불안하게😂,갑자기 왜이리 올라가 불안하게,갑자기 왜이리 올라가 불안하게,2024-04-24T16:39:36+09:00,0.155,0.6478,0.1972,1
테슬라에 비하면 초우량주였던....,테슬라에 비하면 초우량주였던,테슬라에 비하면 초우량주였던....,2025-03-11T10:43:52+09:00,0.0629,0.8906,0.0466,1
시작~~^^,시작,시작,2024-01-12T09:00:46+09:00,0.0395,0.9382,0.0223,1
가즈아아아~,가즈아아아,가즈아아아,2024-12-06T09:25:54+09:00,0.0299,0.0545,0.9156,2
58전자에 오신 것을 환영합니다.,58전자에 오신 것을 환영합니다,58전자에 오신 것을 환영합니다.,2024-10-10T15:34:00+09:00,0.0777,0.566,0.3564,1
장투로 지금 삼전사고싶은데.조금더 떨어질꺼 같아서.관망후 진입,장투로 지금 삼전사고싶은데조금더 떨어질꺼 같아서관망후 진입,장투로 지금 삼전사고싶은데.조금더 떨어질꺼 같아서.관망후 진입,2024-09-13T10:35:10+09:00,0.4628,0.2572,0.28,0
월요일 총파업 한다는데..ㅠㅠ 얼마나 떨구려나...,월요일 총파업 한다는데 얼마나 떨구려나,월요일 총파업 한다는데..ㅠㅠ 얼마나 떨구려나...,2024-07-05T12:20:18+09:00,0.1616,0.7447,0.0936,1
외교로.. 우리도 트럼프한테 점수좀 따야되는데…,외교로 우리도 트럼프한테 점수좀 따야되는데,외교로.. 우리도 트럼프한테 점수좀 따야되는데,2024-12-04T17:59:29+09:00,0.0255,0.9244,0.0501,1
귀족노조 인간의 욕심 끝이 어디일까요,귀족노조 인간의 욕심 끝이 어디일까요,귀족노조 인간의 욕심 끝이 어디일까요,2024-05-31T14:22:10+09:00,0.152,0.798,0.0499,1
와~ 수상해 너~,와 수상해 너,와 수상해 너,2024-03-21T15:22:57+09:00,0.0529,0.9071,0.04,1
마이너스 19%,마이너스 19,마이너스 19,2024-10-18T09:40:43+09:00,0.1064,0.8296,0.064,1
영웅아 호걸아~,영웅아 호걸아,영웅아 호걸아,2024-12-09T09:07:11+09:00,0.0595,0.8534,0.0871,1
나락가자,나락가자,나락가자,2023-06-09T12:59:51+09:00,0.1401,0.0738,0.7861,2
가자,가자,가자,2024-06-13T13:36:34+09:00,0.0246,0.0812,0.8942,2
통!,통,통!,2024-10-23T14:44:28+09:00,0.0304,0.9349,0.0346,1
3전이 10전으로 가야 경제가 돌아 갈텐데!,3전이 10전으로 가야 경제가 돌아 갈텐데,3전이 10전으로 가야 경제가 돌아 갈텐데!,2023-06-15T10:51:53+09:00,0.0624,0.7766,0.161,1
"일까흥 법칙 ㅋㅋㅋㅋㅋ 
일버l 에서 까면 반대로 좋은현상 
ㅁㅓ저ㄹㅣ 같은것들ㅋㄱㅋ",일까흥 법칙 일버l 에서 까면 반대로 좋은현상 저 같은것들,일까흥 법칙 ㅋㅋㅋㅋㅋ 일버l 에서 까면 반대로 좋은현상 ㅁㅓ저ㄹㅣ 같은것들ㅋㄱㅋ,2024-11-15T13:01:47+09:00,0.096,0.7816,0.1224,1
진심 궁금하다 57000원에 무엇이 있길래 저렇게 무한 방어를 하는지.. 자존심이냐.. 그래 이왕 이렇게 된거 외인 소진율 50%이하 가보자..,진심 궁금하다 57000원에 무엇이 있길래 저렇게 무한 방어를 하는지 자존심이냐 그래 이왕 이렇게 된거 외인 소진율 50이하 가보자,진심 궁금하다 57000원에 무엇이 있길래 저렇게 무한 방어를 하는지.. 자존심이냐.. 그래 이왕 이렇게 된거 외인 소진율 50이하 가보자..,2024-11-22T10:30:09+09:00,0.0718,0.5767,0.3514,1
오?,오,오?,2024-12-17T15:04:16+09:00,0.0216,0.9613,0.0171,1
"인텔을 봐라 

반도채 못만드는 반도체 기업의 말로는 

결국 주가박살엔딩임 

공장은 공장대로 다 지어놨는데 

기술력 딸려서 수주를 못잡는데 

답이 있을리가 있냐",인텔을 봐라 반도채 못만드는 반도체 기업의 말로는 결국 주가박살엔딩임 공장은 공장대로 다 지어놨는데 기술력 딸려서 수주를 못잡는데 답이 있을리가 있냐,인텔을 봐라 반도채 못만드는 반도체 기업의 말로는 결국 주가박살엔딩임 공장은 공장대로 다 지어놨는데 기술력 딸려서 수주를 못잡는데 답이 있을리가 있냐,2024-11-13T13:58:51+09:00,0.1766,0.7145,0.1089,1
59900 원에 물타기 한 사람들 진심 개부럽다 ㅠㅠ,59900 원에 물타기 한 사람들 진심 개부럽다,59900 원에 물타기 한 사람들 진심 개부럽다 ㅠㅠ,2024-10-04T10:46:25+09:00,0.0778,0.8138,0.1085,1
결정은 본인목 ㅋㅋㅋㅋ,결정은 본인목,결정은 본인목 ㅋㅋㅋㅋ,2024-10-25T13:15:26+09:00,0.032,0.9397,0.0283,1
51000원때지 열려있지만 삼성은 파는게 아닙니다. 모으는겁니다. 누가 더 싼가격에 많이 모으냐는 싸움이니 현재 마이너스라고 다급할 필요가 없습니다. 적어도 5년뒤엔 현가격보단 높은 가격일테니까요.. 배당금받으며 재투자하세요,51000원때지 열려있지만 삼성은 파는게 아닙니다 모으는겁니다 누가 더 싼가격에 많이 모으냐는 싸움이니 현재 마이너스라고 다급할 필요가 없습니다 적어도 5년뒤엔 현가격보단 높은 가격일테니까요 배당금받으며 재투자하세요,51000원때지 열려있지만 삼성은 파는게 아닙니다. 모으는겁니다. 누가 더 싼가격에 많이 모으냐는 싸움이니 현재 마이너스라고 다급할 필요가 없습니다. 적어도 5년뒤엔 현가격보단 높은 가격일테니까요.. 배당금받으며 재투자하세요,2024-09-20T14:53:16+09:00,0.2241,0.4972,0.2787,1
"역쉬 개인.기관 막 팔아째기니 이놈의 주식 힘을 못받네
언제한번 외.개.기 일심동체하여 삼전 날개 힘을 실어줄련지
비나이다 천지조물주님이시여
간절히 빕니다",역쉬 개인기관 막 팔아째기니 이놈의 주식 힘을 못받네 언제한번 외개기 일심동체하여 삼전 날개 힘을 실어줄련지 비나이다 천지조물주님이시여 간절히 빕니다,역쉬 개인.기관 막 팔아째기니 이놈의 주식 힘을 못받네 언제한번 외.개.기 일심동체하여 삼전 날개 힘을 실어줄련지 비나이다 천지조물주님이시여 간절히 빕니다,2024-08-20T17:01:32+09:00,0.3138,0.4844,0.2019,1
ㄱㄱㄱㄱ,,ㄱㄱㄱㄱ,2024-10-18T09:09:15+09:00,0.0236,0.8279,0.1484,1
외국인 소진울 50퍼 다 되어갑니다~,외국인 소진울 50퍼 다 되어갑니다,외국인 소진울 50퍼 다 되어갑니다,2024-12-17T15:52:01+09:00,0.1064,0.755,0.1386,1
"56847 / 437주
일단 증권계좌에 있는 원화 박박.....

뭐 아직 원화 4천만원 더 있으니께.....
더 내려와바라 5만원대 매수는 여기서 마무리 하겠습니다. 성투를 빕니다.",56847 437주 일단 증권계좌에 있는 원화 박박 뭐 아직 원화 4천만원 더 있으니께 더 내려와바라 5만원대 매수는 여기서 마무리 하겠습니다 성투를 빕니다,56847 437주 일단 증권계좌에 있는 원화 박박..... 뭐 아직 원화 4천만원 더 있으니께..... 더 내려와바라 5만원대 매수는 여기서 마무리 하겠습니다. 성투를 빕니다.,2024-11-13T13:15:15+09:00,0.1983,0.0865,0.7152,2
물타기 언제까지 해야하니…,물타기 언제까지 해야하니,물타기 언제까지 해야하니,2023-08-04T12:23:01+09:00,0.0947,0.8587,0.0466,1
진짜 개 잡주다 ㅋㅋㅋㅋㅋㅋㅋ 얼탱이가없네,진짜 개 잡주다 얼탱이가없네,진짜 개 잡주다 ㅋㅋㅋㅋㅋㅋㅋ 얼탱이가없네,2024-11-08T15:18:38+09:00,0.3657,0.555,0.0793,1
현금확보할걸🤣,현금확보할걸,현금확보할걸,2024-11-13T09:29:24+09:00,0.0294,0.9518,0.0188,1
에라이 이천원에도 정착 못하다니 ㅋㅋㅋ,에라이 이천원에도 정착 못하다니,에라이 이천원에도 정착 못하다니 ㅋㅋㅋ,2024-06-20T15:39:49+09:00,0.152,0.7346,0.1134,1
"삼성 진짜 존심 상해야지
어떻게 된게 중견인 카페24랑 맞먹어 ㅋㅋㅋㅋㅋ",삼성 진짜 존심 상해야지 어떻게 된게 중견인 카페24랑 맞먹어,삼성 진짜 존심 상해야지 어떻게 된게 중견인 카페24랑 맞먹어 ㅋㅋㅋㅋㅋ,2025-02-10T11:13:01+09:00,0.0878,0.8687,0.0434,1
장초반엔 64찍고 끝날땐 다시 62로 돌아감 5일동안 똑같은 패턴,장초반엔 64찍고 끝날땐 다시 62로 돌아감 5일동안 똑같은 패턴,장초반엔 64찍고 끝날땐 다시 62로 돌아감 5일동안 똑같은 패턴,2024-09-26T09:11:47+09:00,0.1626,0.6411,0.1963,1
잠수함이여??  ㅎㅎ 계속 내려가?? ㅎㅎ,잠수함이여 계속 내려가,잠수함이여?? ㅎㅎ 계속 내려가?? ㅎㅎ,2024-10-23T14:19:32+09:00,0.1228,0.7584,0.1188,1
삼성 니가 떠어지면 국장 대부분이 떨어진다 주주는 아니여도 시장분위기 이겨내라,삼성 니가 떠어지면 국장 대부분이 떨어진다 주주는 아니여도 시장분위기 이겨내라,삼성 니가 떠어지면 국장 대부분이 떨어진다 주주는 아니여도 시장분위기 이겨내라,2024-09-09T09:53:09+09:00,0.1439,0.6471,0.2089,1
"Hbm 퀄테스트 통과되던가 파운드리에서 빅테크 하나라도 잡던가 그것도 아니면 정현호라도 물러나던가 뭔가 삼전이 달라진다는 신호가 없다면 지금 투자할 이유가 없죠.

레거시 반도체 전망 안좋고 hbm이나 파운드리는 기술이 없고 스마트폰도 점점 장점이 없고 이재용 이후 기업문화는 최악이고 사람들이 인텔인텔 하는데 인텔만큼만 버텨도 다행으로 보임",Hbm 퀄테스트 통과되던가 파운드리에서 빅테크 하나라도 잡던가 그것도 아니면 정현호라도 물러나던가 뭔가 삼전이 달라진다는 신호가 없다면 지금 투자할 이유가 없죠 레거시 반도체 전망 안좋고 hbm이나 파운드리는 기술이 없고 스마트폰도 점점 장점이 없고 이재용 이후 기업문화는 최악이고 사람들이 인텔인텔 하는데 인텔만큼만 버텨도 다행으로 보임,Hbm 퀄테스트 통과되던가 파운드리에서 빅테크 하나라도 잡던가 그것도 아니면 정현호라도 물러나던가 뭔가 삼전이 달라진다는 신호가 없다면 지금 투자할 이유가 없죠. 레거시 반도체 전망 안좋고 hbm이나 파운드리는 기술이 없고 스마트폰도 점점 장점이 없고 이재용 이후 기업문화는 최악이고 사람들이 인텔인텔 하는데 인텔만큼만 버텨도 다행으로 보임,2024-10-03T03:07:36+09:00,0.3035,0.4356,0.2609,1
뭐야 3조 벌써 다씀?,뭐야 3조 벌써 다씀,뭐야 3조 벌써 다씀?,2024-11-27T12:19:54+09:00,0.0326,0.9464,0.021,1
"호우 !!
사자마자 가는거야? ㅋㅋ",호우 사자마자 가는거야,호우 !! 사자마자 가는거야? ㅋㅋ,2024-05-27T11:18:23+09:00,0.0711,0.2098,0.7192,2
어차피 종가는 58900,어차피 종가는 58900,어차피 종가는 58900,2024-10-21T15:15:19+09:00,0.0613,0.9075,0.0311,1
10만전자 언제오냐.,10만전자 언제오냐,10만전자 언제오냐.,2024-04-17T10:07:51+09:00,0.0326,0.9358,0.0316,1
4만전자 가즈아아아아,4만전자 가즈아아아아,4만전자 가즈아아아아,2024-10-23T13:15:46+09:00,0.0235,0.1034,0.8732,2
오랜만에 종가 20일선 탈것인가,오랜만에 종가 20일선 탈것인가,오랜만에 종가 20일선 탈것인가,2024-11-18T09:47:33+09:00,0.1042,0.791,0.1049,1
영차 영차 4만전자 다와간다 힘내 🙏🙏🙏,영차 영차 4만전자 다와간다 힘내,영차 영차 4만전자 다와간다 힘내,2024-11-13T13:48:21+09:00,0.0311,0.1394,0.8295,2
"주식하는법


1. 국장은 하지 않는다
2. 1번을 절대 잊지 않는다",주식하는법 1 국장은 하지 않는다 2 1번을 절대 잊지 않는다,주식하는법 1. 국장은 하지 않는다 2. 1번을 절대 잊지 않는다,2024-07-24T09:23:02+09:00,0.0924,0.8477,0.06,1
"그동안 미국  가짜성장  뽀록나서 
전부 나락가는중",그동안 미국 가짜성장 뽀록나서 전부 나락가는중,그동안 미국 가짜성장 뽀록나서 전부 나락가는중,2024-08-05T09:13:07+09:00,0.5481,0.1652,0.2867,0
첫투자 성공!!!!,첫투자 성공,첫투자 성공!!!!,2023-05-30T15:19:43+09:00,0.0698,0.1373,0.793,2
5만 전자였으면 샀을텐데,5만 전자였으면 샀을텐데,5만 전자였으면 샀을텐데,2024-03-21T12:09:28+09:00,0.0368,0.9247,0.0385,1
더 내려라 다시 사게,더 내려라 다시 사게,더 내려라 다시 사게,2024-04-25T14:43:55+09:00,0.0591,0.8821,0.0588,1
미쳤냐고!!!!!!!!,미쳤냐고,미쳤냐고!!!!!!!!,2024-09-23T13:43:35+09:00,0.0453,0.9322,0.0225,1
삼전은 오늘도,삼전은 오늘도,삼전은 오늘도,2025-03-11T17:15:50+09:00,0.0368,0.9279,0.0353,1
외인들 갑자기 여기서 수익실현하고 나갈리가 없지 안속는다;,외인들 갑자기 여기서 수익실현하고 나갈리가 없지 안속는다,외인들 갑자기 여기서 수익실현하고 나갈리가 없지 안속는다,2024-01-10T13:55:43+09:00,0.3083,0.5295,0.1622,1
오늘 강보합으로 끝날거 같다 내일은 또 떨굴고,오늘 강보합으로 끝날거 같다 내일은 또 떨굴고,오늘 강보합으로 끝날거 같다 내일은 또 떨굴고,2024-09-12T09:40:30+09:00,0.1465,0.7381,0.1155,1
5년후 코스피,5년후 코스피,5년후 코스피,2024-10-25T13:24:07+09:00,0.1284,0.7424,0.1292,1
땅 살려고 땅계약하고 11월 말에 잔금치루어야하는데 이러다가는 젓되겠네 삼전 홧팅좀하자c~8,땅 살려고 땅계약하고 11월 말에 잔금치루어야하는데 이러다가는 젓되겠네 삼전 홧팅좀하자c8,땅 살려고 땅계약하고 11월 말에 잔금치루어야하는데 이러다가는 젓되겠네 삼전 홧팅좀하자c8,2024-10-22T09:07:31+09:00,0.2665,0.5294,0.204,1
"쟈.. 이제 바닥이고 신호왔어..
우리 같이 달려보자.
넌 할수 있다",쟈 이제 바닥이고 신호왔어 우리 같이 달려보자 넌 할수 있다,쟈.. 이제 바닥이고 신호왔어.. 우리 같이 달려보자. 넌 할수 있다,2024-10-28T15:37:17+09:00,0.2667,0.2606,0.4728,2
가야겠지?,가야겠지,가야겠지?,2024-10-10T09:27:11+09:00,0.0405,0.9108,0.0486,1
20분만에 판이 뒤집히네ㅋ,20분만에 판이 뒤집히네,20분만에 판이 뒤집히네ㅋ,2024-12-09T10:20:47+09:00,0.0634,0.8967,0.0399,1
단타맛집 ㅋㅋㅋㅋㅋㅋ,단타맛집,단타맛집 ㅋㅋㅋㅋㅋㅋ,2024-11-15T09:11:08+09:00,0.0982,0.8366,0.0652,1
삼성은 웃긴게 별 악재도 없는데 매일 떨어짐.,삼성은 웃긴게 별 악재도 없는데 매일 떨어짐,삼성은 웃긴게 별 악재도 없는데 매일 떨어짐.,2025-01-13T15:36:58+09:00,0.4077,0.3492,0.2431,0
50000으로 가자!!!,50000으로 가자,50000으로 가자!!!,2024-10-19T17:47:41+09:00,0.0201,0.0693,0.9106,2
아 4만전자 찍는거보고 매수각 보고 있었는데 이게 올라버리네,아 4만전자 찍는거보고 매수각 보고 있었는데 이게 올라버리네,아 4만전자 찍는거보고 매수각 보고 있었는데 이게 올라버리네,2024-11-15T09:12:36+09:00,0.3001,0.1126,0.5873,2
더사야되낭 ㅜㅜ,더사야되낭,더사야되낭 ㅜㅜ,2024-10-10T09:17:57+09:00,0.0329,0.9313,0.0358,1
오늘 아이윈 플러스 오를듯,오늘 아이윈 플러스 오를듯,오늘 아이윈 플러스 오를듯,2025-02-04T11:48:57+09:00,0.1048,0.1876,0.7076,2
개미들아 이제 그만 사자 희망이 없다,개미들아 이제 그만 사자 희망이 없다,개미들아 이제 그만 사자 희망이 없다,2024-10-07T14:51:41+09:00,0.3196,0.5717,0.1087,1
"돈을 쉅게 벌수 있을줄 알았느냐? 어차피 모두들 없어도 되는 돈으로 하지 않는가?
너무 서두르지마라. 삼성은 몸집이 커서 어쩔수없다.
벌어도 내탓, 잃어도 내탓.",돈을 쉅게 벌수 있을줄 알았느냐 어차피 모두들 없어도 되는 돈으로 하지 않는가 너무 서두르지마라 삼성은 몸집이 커서 어쩔수없다 벌어도 내탓 잃어도 내탓,"돈을 쉅게 벌수 있을줄 알았느냐? 어차피 모두들 없어도 되는 돈으로 하지 않는가? 너무 서두르지마라. 삼성은 몸집이 커서 어쩔수없다. 벌어도 내탓, 잃어도 내탓.",2024-01-24T10:20:38+09:00,0.102,0.8204,0.0776,1
점점 .... 위?  아래??,점점 위 아래,점점 .... 위? 아래??,2024-10-11T11:12:56+09:00,0.0636,0.8997,0.0367,1
반등하면 털어야겠네,반등하면 털어야겠네,반등하면 털어야겠네,2024-09-19T08:50:15+09:00,0.1001,0.8366,0.0633,1
망함,망함,망함,2024-09-05T15:29:29+09:00,0.4568,0.4871,0.0562,1
물타기,물타기,물타기,2025-03-05T10:00:03+09:00,0.052,0.9242,0.0238,1
주식은 역시 삼전 sK하이닉스,주식은 역시 삼전 sK하이닉스,주식은 역시 삼전 sK하이닉스,2024-07-04T11:53:01+09:00,0.0908,0.8388,0.0705,1
아 오늘 825좀 찍자고,아 오늘 825좀 찍자고,아 오늘 825좀 찍자고,2024-03-29T13:42:39+09:00,0.0517,0.8331,0.1152,1
조금만 남겨두고 8주 팔고 888 먹었숩니다 ~ 조금 떨어지면 다시 들어올게요 !,조금만 남겨두고 8주 팔고 888 먹었숩니다 조금 떨어지면 다시 들어올게요,조금만 남겨두고 8주 팔고 888 먹었숩니다 조금 떨어지면 다시 들어올게요 !,2023-07-14T15:32:27+09:00,0.2917,0.3822,0.3261,1
이젠 삼전 놔줘.. 가상자산으로 고고,이젠 삼전 놔줘 가상자산으로 고고,이젠 삼전 놔줘.. 가상자산으로 고고,2024-12-16T10:09:41+09:00,0.1008,0.5015,0.3978,1
ㅎ,,ㅎ,2024-05-24T09:34:54+09:00,0.0236,0.9618,0.0146,1
"시초가 에서 치고 오르지를 못하내

매도 벽 ㅋㅋ",시초가 에서 치고 오르지를 못하내 매도 벽,시초가 에서 치고 오르지를 못하내 매도 벽 ㅋㅋ,2024-08-16T09:27:31+09:00,0.5866,0.1254,0.288,0
아직도 개미가 담고 있다...,아직도 개미가 담고 있다,아직도 개미가 담고 있다...,2024-11-13T09:58:20+09:00,0.1379,0.8112,0.0509,1
매해 1월마다 기술유출하는 삼성 ㅋㅋ 1월만 기술유출 뉴스하냐?,매해 1월마다 기술유출하는 삼성 1월만 기술유출 뉴스하냐,매해 1월마다 기술유출하는 삼성 ㅋㅋ 1월만 기술유출 뉴스하냐?,2024-01-03T22:13:03+09:00,0.1051,0.7581,0.1368,1
심하네,심하네,심하네,2024-11-27T15:17:34+09:00,0.0437,0.9399,0.0165,1
5만 전자 가즈아!!,5만 전자 가즈아,5만 전자 가즈아!!,2024-09-13T13:17:10+09:00,0.0245,0.0629,0.9126,2
"우와 내돈이 줄어든다
재미따 재미따",우와 내돈이 줄어든다 재미따 재미따,우와 내돈이 줄어든다 재미따 재미따,2024-09-09T09:04:30+09:00,0.0403,0.8063,0.1534,1
모아갈께요,모아갈께요,모아갈께요,2024-12-17T09:23:36+09:00,0.0225,0.7115,0.266,1
10월15~20일 사이에 하루이틀정도? 반짝오르고 11월 초반부터 야금야금 오를것으로 예상해봅니다.,10월1520일 사이에 하루이틀정도 반짝오르고 11월 초반부터 야금야금 오를것으로 예상해봅니다,10월1520일 사이에 하루이틀정도? 반짝오르고 11월 초반부터 야금야금 오를것으로 예상해봅니다.,2024-10-08T10:25:58+09:00,0.2078,0.1911,0.6011,2
"주주님들 얼마선까지 가지고 계실건가요?
올해 들고있을지...
6만원찍음 팔지 고민중...",주주님들 얼마선까지 가지고 계실건가요 올해 들고있을지 6만원찍음 팔지 고민중,주주님들 얼마선까지 가지고 계실건가요? 올해 들고있을지... 6만원찍음 팔지 고민중...,2024-11-26T09:37:31+09:00,0.1304,0.7945,0.0751,1
"솔까 8만은 무조건 찍는다

다만 6만 찍을수도 있다

ㅋㅋ 8만이 빠를지 6만이 빠를지 

ㅋㅋ",솔까 8만은 무조건 찍는다 다만 6만 찍을수도 있다 8만이 빠를지 6만이 빠를지,솔까 8만은 무조건 찍는다 다만 6만 찍을수도 있다 ㅋㅋ 8만이 빠를지 6만이 빠를지 ㅋㅋ,2024-08-09T10:41:34+09:00,0.0694,0.7554,0.1752,1
도지코인 3일. +72%.ㅎ.ㅎ.,도지코인 3일 72,도지코인 3일. 72.ㅎ.ㅎ.,2024-11-12T14:34:22+09:00,0.0819,0.8619,0.0562,1
"지금 들어오시려분들께

8만이 될지 9만이될지  기간은 얼마나 걸릴지

모르겠습니다.

단 오시려면 5만까지 내가 버틸수 있겠다!

하고 들어오시길 바랍니다.

멘탈관리와 비중관리에 초점을 두심이 좋을것 같습니다.

지금은 저가매수하신분들이 수익내는 구간인거

같아요.",지금 들어오시려분들께 8만이 될지 9만이될지 기간은 얼마나 걸릴지 모르겠습니다 단 오시려면 5만까지 내가 버틸수 있겠다 하고 들어오시길 바랍니다 멘탈관리와 비중관리에 초점을 두심이 좋을것 같습니다 지금은 저가매수하신분들이 수익내는 구간인거 같아요,지금 들어오시려분들께 8만이 될지 9만이될지 기간은 얼마나 걸릴지 모르겠습니다. 단 오시려면 5만까지 내가 버틸수 있겠다! 하고 들어오시길 바랍니다. 멘탈관리와 비중관리에 초점을 두심이 좋을것 같습니다. 지금은 저가매수하신분들이 수익내는 구간인거 같아요.,2023-06-19T13:14:17+09:00,0.1952,0.2646,0.5402,2
ㅇㅇ,,ㅇㅇ,2024-03-12T13:14:12+09:00,0.025,0.9606,0.0144,1
외국인 물량 딸리네 외국인 화력 이거밖에 안됨??,외국인 물량 딸리네 외국인 화력 이거밖에 안됨,외국인 물량 딸리네 외국인 화력 이거밖에 안됨??,2024-12-03T09:26:48+09:00,0.0468,0.8904,0.0627,1
"조금 오르닌까   염불들  하고  있다   
지긋히  참아야지   참지을 못하네",조금 오르닌까 염불들 하고 있다 지긋히 참아야지 참지을 못하네,조금 오르닌까 염불들 하고 있다 지긋히 참아야지 참지을 못하네,2025-02-20T14:19:25+09:00,0.2826,0.5425,0.1749,1
드디어 미첫네.....,드디어 미첫네,드디어 미첫네.....,2024-01-31T14:39:49+09:00,0.11,0.8546,0.0354,1
존저가자아아아앙,존저가자아아아앙,존저가자아아아앙,2023-06-05T20:37:24+09:00,0.0363,0.0648,0.8989,2
흐뭇,흐뭇,흐뭇,2024-11-19T11:01:55+09:00,0.0341,0.9472,0.0187,1
재미 없네,재미 없네,재미 없네,2025-03-05T11:18:10+09:00,0.0407,0.9354,0.0238,1
더 떨어져야 사는뎁..지금도 비싸;;;;,더 떨어져야 사는뎁지금도 비싸,더 떨어져야 사는뎁..지금도 비싸,2025-01-17T12:12:46+09:00,0.3234,0.4992,0.1775,1
삼성은 오를땐 찔금찔금 답답하네요,삼성은 오를땐 찔금찔금 답답하네요,삼성은 오를땐 찔금찔금 답답하네요,2024-04-30T13:18:17+09:00,0.2824,0.6205,0.0971,1
올라가는건가,올라가는건가,올라가는건가,2024-09-19T13:51:14+09:00,0.1224,0.4529,0.4247,1
"역시 국장은 건드리는게 아니었나…
-3퍼라니…",역시 국장은 건드리는게 아니었나 3퍼라니,역시 국장은 건드리는게 아니었나 3퍼라니,2024-11-06T12:56:40+09:00,0.0565,0.906,0.0376,1
어디까지올라가는거에요?,어디까지올라가는거에요,어디까지올라가는거에요?,2024-03-20T11:13:41+09:00,0.1106,0.1815,0.7079,2
외인 파는거 ..중지되고  개인만 파네요,외인 파는거 중지되고 개인만 파네요,외인 파는거 ..중지되고 개인만 파네요,2025-01-03T10:09:49+09:00,0.1967,0.7271,0.0762,1
뭐여 코인이여?,뭐여 코인이여,뭐여 코인이여?,2024-05-27T15:44:00+09:00,0.107,0.8528,0.0402,1
